"UserID","Timestamp","EventCount","ActiveSessionLength","Location","OS","Browser"
"122545","August 4, 5:48pm CDT","67","0:01:09","Batavia","iOS","Facebook"
"122541","August 4, 5:06pm CDT","52","0:01:05","Phoenix","Android","Facebook"
"122540","August 4, 5:01pm CDT","70","0:00:55","Cincinnati","iOS","Facebook"
"122539","August 4, 4:55pm CDT","75","0:00:47","Cincinnati","iOS","Facebook"
"122538","August 4, 4:41pm CDT","73","0:00:52","2600:387:1:809::92","iOS","Facebook"
"122535","August 4, 3:43pm CDT","94","0:01:37","Dayton","Android","Facebook"
"122534","August 4, 2:46pm CDT","85","0:00:59","Springboro","iOS","Facebook"
"122533","August 4, 2:45pm CDT","71","0:00:47","2600:387:2:80f::70","iOS","Facebook"
"122532","August 4, 2:38pm CDT","75","0:00:53","Cincinnati","Android","Facebook"
"122530","August 4, 2:06pm CDT","70","0:01:44","Falmouth","Android","Facebook"
"122529","August 4, 1:47pm CDT","74","0:00:48","Newport","iOS","Facebook"
"122528","August 4, 1:44pm CDT","40","0:00:53","Scottsburg","Android","Facebook"
"122527","August 4, 1:32pm CDT","68","0:00:54","Chicago","Android","Facebook"
"122525","August 4, 1:16pm CDT","81","0:00:48","Germantown","iOS","Facebook"
"122524","August 4, 1:06pm CDT","64","0:00:41","Indianapolis","iOS","Facebook"
"122523","August 4, 1:03pm CDT","46","0:00:52","McArthur","Android","Facebook"
"122522","August 4, 1:00pm CDT","67","0:00:49","Dayton","Android","Facebook"
"122521","August 4, 12:51pm CDT","78","0:01:30","Jeffersonville","Android","Facebook"
"122520","August 4, 12:39pm CDT","13","0:00:09","Xenia","Android","Facebook"
"122519","August 4, 12:08pm CDT","45","0:00:35","Muncie","Android","Facebook"
"122518","August 4, 11:45am CDT","62","0:00:56","Cedar Rapids","iOS","Facebook"
"122516","August 4, 11:28am CDT","87","0:00:56","Rock Hill","iOS","Facebook"
"122515","August 4, 11:09am CDT","76","0:01:44","Hamilton","Android","Facebook"
"122513","August 4, 10:29am CDT","87","0:01:49","Terre Haute","iOS","Facebook"
"122512","August 4, 10:10am CDT","62","0:00:51","Philadelphia","iOS","Facebook"
"122511","August 4, 9:47am CDT","68","0:00:58","Elkhart","iOS","Facebook"
"122507","August 4, 9:02am CDT","59","0:00:59","Elizabethtown","Android","Facebook"
"122506","August 4, 8:02am CDT","69","0:00:45","107.77.207.49","iOS","Facebook"
"122505","August 4, 8:00am CDT","78","0:00:52","Fort Mitchell","iOS","Facebook"
"122504","August 4, 7:57am CDT","13","0:00:01","Cincinnati","iOS","Facebook"
"122503","August 4, 7:51am CDT","51","0:00:40","Cincinnati","Android","Facebook"
"122502","August 4, 7:41am CDT","83","0:01:47","Fremont","iOS","Facebook"
"122500","August 4, 7:22am CDT","81","0:00:41","Cincinnati","iOS","Facebook"
"122498","August 4, 2:20am CDT","13","0:00:01","Baton Rouge","iOS","Facebook"
"122497","August 4, 12:48am CDT","61","0:00:52","Akron","Android","Facebook"
"122496","August 3, 11:03pm CDT","81","0:00:56","Dayton","Android","Facebook"
"122494","August 3, 10:37pm CDT","73","0:00:40","Newport","iOS","Facebook"
"122440","August 3, 9:16pm CDT","109","0:03:48","Bristol","Chromium OS","Chrome"
"122491","August 3, 9:14pm CDT","81","0:00:51","Columbus","Android","Facebook"
"122440","August 3, 9:07pm CDT","47","0:01:03","Bristol","Android","Facebook"
"122489","August 3, 8:58pm CDT","73","0:01:34","Cincinnati","Android","Facebook"
"122487","August 3, 8:17pm CDT","63","0:00:43","Cleveland","Android","Facebook"
"122486","August 3, 8:15pm CDT","70","0:00:50","Louisville","iOS","Facebook"
"122485","August 3, 8:07pm CDT","68","0:00:51","Akron","iOS","Facebook"
"122484","August 3, 7:55pm CDT","79","0:00:50","Salem","iOS","Facebook"
"122483","August 3, 6:44pm CDT","5","0:00:08","Seymour","iOS","Facebook"
