name,account_id,type,initials,abbreviation,image,entry_image,local_image,division,lat,long,sponsored,active
Cleveland Browns,1,Team,CLE,Browns,https://budweiser-sweep-assets.s3.amazonaws.com/cleveland_browns.png,https://budweiser-sweep-assets.s3.amazonaws.com/cleveland_browns_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/cleveland_browns_lockup.png,afc,41.505493,-81.681290,true,false
Houston Texans,1,Team,HOU,Texans,https://budweiser-sweep-assets.s3.amazonaws.com/houston_texans.png,https://budweiser-sweep-assets.s3.amazonaws.com/houston_texans_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/houston_texans_lockup.png,afc,29.7604,-95.3698,true,false
Tennessee Titans,1,Team,TEN,Titans,https://budweiser-sweep-assets.s3.amazonaws.com/tennessee_titans.png,https://budweiser-sweep-assets.s3.amazonaws.com/tennessee_titans_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/tennessee_titans_lockup.png,afc,35.5175,-86.5804,true,false
Pittsburgh Steelers,1,Team,PIT,Steelers,https://budweiser-sweep-assets.s3.amazonaws.com/pittsburgh_steelers.png,https://budweiser-sweep-assets.s3.amazonaws.com/pittsburgh_steelers_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/pittsburgh_steelers_lockup.png,afc,40.4406,-79.9959,true,false
Seattle Seahawks,1,Team,SEA,Seahawks,https://budweiser-sweep-assets.s3.amazonaws.com/seattle_seahawks.png,https://budweiser-sweep-assets.s3.amazonaws.com/seattle_seahawks_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/seattle_seahawks_lockup.png,nfc,47.6062,-122.3321,true,false
New Orleans Saints,1,Team,NO,Saints,https://budweiser-sweep-assets.s3.amazonaws.com/new_orleans_saints.png,https://budweiser-sweep-assets.s3.amazonaws.com/new_orleans_saints_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/new_orleans_saints_lockup.png,nfc,29.9511,-90.0715,true,false
Washington Redskins,1,Team,WAS,Redskins,https://budweiser-sweep-assets.s3.amazonaws.com/washington_redskins.png,https://budweiser-sweep-assets.s3.amazonaws.com/washington_redskins_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/washington_redskins_lockup.png,nfc,38.9072,-77.0369,true,false
Baltimore Ravens,1,Team,BAL,Ravens,https://budweiser-sweep-assets.s3.amazonaws.com/baltimore_ravens.png,https://budweiser-sweep-assets.s3.amazonaws.com/baltimore_ravens_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/baltimore_ravens_lockup.png,afc,39.2904,-76.6122,true,false
Los Angeles Rams,1,Team,LA,Rams,https://budweiser-sweep-assets.s3.amazonaws.com/los_angeles_Rams.png,https://budweiser-sweep-assets.s3.amazonaws.com/los_angeles_Rams_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/los_angeles_Rams_lockup.png,nfc,34.0522,-118.2437,true,false
Oakland Raiders,1,Team,OAK,Raiders,https://budweiser-sweep-assets.s3.amazonaws.com/oakland_raiders.png,https://budweiser-sweep-assets.s3.amazonaws.com/oakland_raiders_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/oakland_raiders_lockup.png,afc,37.8044,-122.2712,true,false
New England Patriots,1,Team,NE,Patriots,https://budweiser-sweep-assets.s3.amazonaws.com/new_england_patriots.png,https://budweiser-sweep-assets.s3.amazonaws.com/new_england_patriots_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/new_england_patriots_lockup.png,afc,42.3601,-71.0589,true,false
Carolina Panthers,1,Team,CAR,Panthers,https://budweiser-sweep-assets.s3.amazonaws.com/carolina_panthers.png,https://budweiser-sweep-assets.s3.amazonaws.com/carolina_panthers_fb_lockup.png,https://budweiser-sweep-assets.s3.amazonaws.com/carolina_panthers_lockup.png,nfc,35.2271,-80.8431,true,false
