id,description,event_id,order,category
16647,"Yes, the Padres will record three or more extra-base hits",8320,1,Positive
16648,No,8320,2,Negative
16649,"Yes, the Padres pitching staff will combine to give up less than 4 earned runs.",8321,1,Positive
16650,Nope,8321,2,Negative
16651,"Yes, the Padres will win",8322,1,Positive
16652,No,8322,2,Negative
16653,"Yes, the Padres will hit 2 or more homeruns",8323,1,Positive
16654,No,8323,2,Negative
16655,"Yes, the Padres pitching staff will record a save",8324,1,Positive
16656,Nope,8324,2,Negative
16657,"Yes, the Padres will win",8325,1,Positive
16658,No,8325,2,Negative
16659,"Yes, the Padres hitters will record 8 or more hits",8326,1,Positive
16660,No,8326,2,Negative
16661,"Yes, a Padres player will record 2 or more RBIs.",8327,1,Positive
16662,Nope,8327,2,Negative
16663,"Yes, the Padres will win.",8328,1,Positive
16664,No,8328,2,Negative
16665,"Yes, the Padres will score 4 or more runs",8329,1,Positive
16666,No,8329,2,Negative
16667,"Yes, the Padres will steal one or more bases.",8330,1,Positive
16668,Nope,8330,2,Negative
16669,"Yes, the Padres will win",8331,1,Positive
16670,No,8331,2,Negative
16671,"Yes, a Padres player will record 3 or more hits.",8332,1,Positive
16672,No,8332,2,Negative
16673,"Yes, the Padres hitters will record 2 or more doubles",8333,1,Positive
16674,Nope,8333,2,Negative
16675,"Yes, the Padres will win",8334,1,Positive
16676,No,8334,2,Negative
16677,"Yes, the Padres hitters will record 1 or more triples.",8335,1,Positive
16678,No,8335,2,Negative
16679,"Yes, the Padres hitters will draw 2 or more walks.",8336,1,Positive
16680,Nope,8336,2,Negative
16681,"Yes, the Padres will win",8337,1,Positive
16682,No,8337,2,Negative
16683,"Yes, the Padres will record three or more extra-base hits",8338,1,Positive
16684,No,8338,2,Negative
16685,"Yes, the Padres pitching staff will combine to give up less than 4 earned runs.",8339,1,Positive
16686,Nope,8339,2,Negative
16687,"Yes, the Padres will win",8340,1,Positive
16688,No,8340,2,Negative
16689,"Yes, the Padres will hit 2 or more homeruns",8341,1,Positive
16690,No,8341,2,Negative
16691,"Yes, the Padres pitching staff will record a save",8342,1,Positive
16692,Nope,8342,2,Negative
16693,"Yes, the Padres will win",8343,1,Positive
16694,No,8343,2,Negative
16695,"Yes, the Padres hitters will record 8 or more hits",8344,1,Positive
16696,No,8344,2,Negative
16697,"Yes, a Padres player will record 2 or more RBIs.",8345,1,Positive
16698,Nope,8345,2,Negative
16699,"Yes, the Padres will win.",8346,1,Positive
16700,No,8346,2,Negative
16701,"Yes, the Padres will score 4 or more runs",8347,1,Positive
16702,No,8347,2,Negative
16703,"Yes, the Padres will steal one or more bases.",8348,1,Positive
16704,Nope,8348,2,Negative
16705,"Yes, the Padres will win",8349,1,Positive
16706,No,8349,2,Negative
16707,"Yes, a Padres player will record 3 or more hits.",8350,1,Positive
16708,No,8350,2,Negative
16709,"Yes, the Padres hitters will record 2 or more doubles",8351,1,Positive
16710,Nope,8351,2,Negative
16711,"Yes, the Padres will win",8352,1,Positive
16712,No,8352,2,Negative
16713,"Yes, the Padres hitters will record 1 or more triples.",8353,1,Positive
16714,No,8353,2,Negative
16715,"Yes, the Padres hitters will draw 2 or more walks.",8354,1,Positive
16716,Nope,8354,2,Negative
16717,"Yes, the Padres will win",8355,1,Positive
16718,No,8355,2,Negative
16719,"Yes, the Padres will record three or more extra-base hits",8356,1,Positive
16720,No,8356,2,Negative
16721,"Yes, the Padres pitching staff will combine to give up less than 4 earned runs.",8357,1,Positive
16722,Nope,8357,2,Negative
16723,"Yes, the Padres will win",8358,1,Positive
16724,No,8358,2,Negative
