id,name,owner_id,start_time,sku_id,contest_id
2836,Cincinnati Reds,6,2020-07-24 18:10,188,6
2837,Tampa Bay Rays,19,2020-07-24 18:40,188,8
2838,Marlins @ Phillies,17,2020-07-24 19:05,188,5
2839,Marlins @ Phillies,4,2020-07-24 19:05,188,7
2840,Chicago Cubs,3,2020-07-24 19:10,188,18
2841,Baltimore Orioles,9,2020-07-24 19:30,188,10
2842,Texas Rangers,12,2020-07-24 20:05,188,11
2843,Twins @ White Sox,18,2020-07-24 20:10,188,17
2844,Twins @ White Sox,8,2020-07-24 20:10,188,13
2845,Pirates @ Cardinals,1,2020-07-24 20:15,188,9
2846,Houston Astros,14,2020-07-24 21:10,188,16
2847,Diamondbacks @ Padres,7,2020-07-24 21:10,188,12
2848,Diamondbacks @ Padres,11,2020-07-24 21:10,188,1
2849,Los Angeles Dodgers,2,2020-07-24 21:40,188,4
2850,Angels @ Athletics,5,2020-07-24 22:10,188,15
2851,Angels @ Athletics,10,2020-07-24 22:10,188,14
